,Time (sec),ADCBUF,Voltage (volts)
195,5.5695436,247,1.206
196,5.597980261,257,1.255
197,5.626556396,257,1.255
198,5.654901266,255,1.245
199,5.683409214,255,1.245
200,5.710448503,254,1.24
201,5.739031792,254,1.24
202,5.765968084,254,1.24
203,5.793891668,252,1.23
204,5.821855307,254,1.24
205,5.851046085,255,1.245
206,5.87918663,256,1.25
207,5.907623053,260,1.27
208,5.936009407,304,1.484
209,5.964600325,345,1.685
210,5.992931128,385,1.88
211,6.021179914,421,2.056
212,6.049622297,447,2.183
213,6.077925444,456,2.227
214,6.106621265,456,2.227
215,6.13505578,455,2.222
216,6.163335562,455,2.222
217,6.191763878,455,2.222
218,6.220041037,452,2.207
219,6.248532057,454,2.217
220,6.276513338,454,2.217
221,6.304394484,455,2.222
222,6.334130526,456,2.227
223,6.36250782,475,2.319
224,6.390537262,516,2.52
225,6.418208361,563,2.749
226,6.447731495,614,2.998
227,6.476492882,650,3.174
228,6.504758596,662,3.232
229,6.532879353,657,3.208
230,6.561278343,659,3.218
231,6.589985132,659,3.218
232,6.618539095,659,3.218
233,6.647052288,659,3.218
234,6.675410748,660,3.223
235,6.703743696,662,3.232
236,6.731942177,670,3.271
237,6.760705471,691,3.374
238,6.788709641,718,3.506
239,6.816600323,757,3.696
240,6.846174002,814,3.975
241,6.874884129,866,4.229
242,6.903225899,905,4.419
243,6.931517601,934,4.561
244,6.959763527,946,4.619
245,6.987876892,943,4.604
246,7.016485453,941,4.595
247,7.044411182,941,4.595
248,7.073756933,941,4.595
249,7.102316618,941,4.595
250,7.130989552,941,4.595
251,7.159825087,941,4.595
252,7.187420845,943,4.604
253,7.21577239,964,4.707
254,7.2441504,1014,4.951
255,7.272741318,1023,4.995
256,7.300704241,1023,4.995
257,7.329632044,1023,4.995
258,7.358765602,1023,4.995
259,7.387275696,1023,4.995
260,7.416064501,1023,4.995
261,7.444602489,1023,4.995
262,7.473204136,1023,4.995
263,7.501652479,1023,4.995
264,7.529897928,1023,4.995
265,7.558889151,1023,4.995
266,7.587501526,1023,4.995
267,7.616063356,1023,4.995
268,7.644734383,1023,4.995
269,7.673006058,1023,4.995
270,7.701809406,1023,4.995
271,7.730673313,1023,4.995
272,7.758894444,1023,4.995
273,7.786810637,1022,4.99
274,7.814733505,1023,4.995
275,7.844317198,1023,4.995
276,7.873086214,1023,4.995
277,7.901595831,1023,4.995
278,7.930043221,1023,4.995
279,7.958837032,1023,4.995
280,7.9873209,1023,4.995
281,8.015965223,1023,4.995
282,8.044510126,1023,4.995
283,8.073140621,1023,4.995
284,8.101725817,1023,4.995
285,8.130400181,1023,4.995
286,8.158653975,1023,4.995
287,8.18752718,1023,4.995
288,8.216223478,1023,4.995
289,8.244822025,1023,4.995
290,8.272663355,1023,4.995
291,8.30162096,1023,4.995
292,8.330788851,1023,4.995
293,8.359379768,1023,4.995
294,8.387872219,1023,4.995
295,8.416509867,998,4.873
296,8.444715023,969,4.731
297,8.472481966,936,4.57
298,8.501008987,904,4.414
299,8.529285669,875,4.272
300,8.557578564,860,4.199
301,8.58667326,864,4.219
302,8.615221739,864,4.219
303,8.643579483,868,4.238
304,8.671962976,868,4.238
305,8.700556993,868,4.238
306,8.728563547,869,4.243
307,8.756240845,869,4.243
308,8.785156965,869,4.243
309,8.813082218,869,4.243
310,8.842307091,869,4.243
311,8.870749712,867,4.233
312,8.898348331,863,4.214
313,8.926995039,838,4.092
314,8.954888105,805,3.931
315,8.983260632,774,3.779
316,9.012880802,752,3.672
317,9.041687489,733,3.579
318,9.07030654,728,3.555
319,9.098959684,728,3.555
320,9.127270699,730,3.564
321,9.155889988,731,3.569
322,9.184505701,731,3.569
323,9.213029385,731,3.569
324,9.241048813,732,3.574
325,9.268925667,732,3.574
326,9.297847748,728,3.555
327,9.327433348,731,3.569
328,9.356046438,731,3.569
329,9.384542704,730,3.564
330,9.412742138,729,3.56
331,9.441372395,726,3.545
332,9.469700813,713,3.481
333,9.498119116,703,3.433
334,9.52669239,691,3.374
335,9.555035353,687,3.354
336,9.583651543,688,3.359
337,9.611752272,689,3.364
338,9.640530825,688,3.359
339,9.669222116,692,3.379
340,9.697054386,692,3.379
341,9.72648859,692,3.379
342,9.754504204,692,3.379
343,9.783387899,693,3.384
344,9.811349869,693,3.384
345,9.840984106,693,3.384
346,9.869360924,691,3.374
347,9.897767782,690,3.369
348,9.925844431,678,3.311
349,9.954639673,669,3.267
350,9.982977867,648,3.164
351,10.01164174,606,2.959
